"day","CH_bioenergy_capacity","CH_solar_capacity","CH_wind_onshore_capacity","DE_bioenergy_capacity","DE_geothermal_capacity","DE_solar_capacity","DE_wind_capacity","DE_wind_offshore_capacity","DE_wind_onshore_capacity","DK_solar_capacity","DK_wind_capacity","DK_wind_offshore_capacity","DK_wind_onshore_capacity","FR_bioenergy_capacity","FR_geothermal_capacity","FR_hydro_capacity","FR_marine_capacity","FR_solar_capacity","FR_wind_onshore_capacity","GB.GBN_bioenergy_capacity","GB.GBN_hydro_capacity","GB.GBN_marine_capacity","GB.GBN_solar_capacity","GB.GBN_wind_capacity","GB.GBN_wind_offshore_capacity","GB.GBN_wind_onshore_capacity","GB.NIR_bioenergy_capacity","GB.NIR_solar_capacity","GB.NIR_wind_onshore_capacity","GB.UKM_bioenergy_capacity","GB.UKM_hydro_capacity","GB.UKM_marine_capacity","GB.UKM_solar_capacity","GB.UKM_wind_capacity","GB.UKM_wind_offshore_capacity","GB.UKM_wind_onshore_capacity","SE_wind_capacity","SE_wind_offshore_capacity","SE_wind_onshore_capacity"
"1900-04-14",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-04-15",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-04-16",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-04-17",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-04-18",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-04-19",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-04-20",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-04-21",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-04-22",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-04-23",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-04-24",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-04-25",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-04-26",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-04-27",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-04-28",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-04-29",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-04-30",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-01",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-02",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-03",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-04",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-05",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-06",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-07",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-08",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-09",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-10",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-11",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-12",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-13",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-14",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-15",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-16",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-17",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-18",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-19",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-20",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-21",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-22",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900-05-23",0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,122.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
